duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,src_ip,dst_ip,src_port,dst_port
2.7995,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
2.8343,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
2.8346,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
2.836,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
2.8363,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
2.9333,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
2.9337,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60304
3.0047,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0052,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0068,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0071,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0076,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0077,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0093,tcp,tcp,S2,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0111,tcp,tcp,S2,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0142,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0148,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0189,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0193,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0224,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.023,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0239,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0241,tcp,tcp,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60306,443
3.0247,tcp,tcp,S2,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0249,tcp,tcp,S2,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.126.17.134,192.168.191.121,443,60306
3.0264,tcp,tcp,S2,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0269,tcp,tcp,S2,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0287,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0292,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0321,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0323,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0359,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0361,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.038,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0389,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.0416,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
3.042,tcp,tcp,S2,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.191.121,40.126.17.134,60305,443
